account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
405,82,ADMINISTRATION INCOME,A,SDG CHART,SDG
405,90,TABLE GAMES INCOME,A,SDG CHART,SDG
405,100,LOUNGE,A,SDG CHART,SDG
405,200,REST,A,SDG CHART,SDG
405,300,COMP MEALS,A,SDG CHART,SDG
405,550,VENDING MACHINE INCOME,A,SDG CHART,SDG
421,,WAGE MDSE REVENUE,A,SDG CHART,SDG
422,,RETURNS & ALLOWANCES,A,SDG CHART,SDG
425,,DISCOUNTS,A,SDG CHART,SDG
428,,SALES TAX,A,SDG CHART,SDG
430,,NET SALES,T,SDG CHART,SDG
432,,COST OF GOODS SOLD,H,SDG CHART,SDG
432,80,PROMOTIONS,A,SDG CHART,SDG
432,90,COMP MEALS,A,SDG CHART,SDG
432,100,COGS ALCOHOL,A,SDG CHART,SDG
432,150,COGS LOUNGE SERV PROD,A,SDG CHART,SDG
432,200,COGS FOOD,A,SDG CHART,SDG
432,250,COGS REST SERV PROD,A,SDG CHART,SDG
432,550,COGS-VENDING,A,SDG CHART,SDG
439,,TOTAL COST OF GOODS SOLD,T,SDG CHART,SDG
440,,GROSS MARGIN,T,SDG CHART,SDG
445,,OTHER REVENUE,H,SDG CHART,SDG
470,,RENTAL INCOME,A,SDG CHART,SDG
470,6,RENTAL LATE CHARGES,A,SDG CHART,SDG
475,,FREIGHT INCOME,A,SDG CHART,SDG
480,,SERVICE INCOME,A,SDG CHART,SDG
482,,GAIN ON SALE OF AN ASSET,A,SDG CHART,SDG
484,,REBATES,A,SDG CHART,SDG
486,,COMMISSIONS,A,SDG CHART,SDG
487,,INTEREST INCOME,A,SDG CHART,SDG
488,,LOAN INTEREST INCOME,A,SDG CHART,SDG
489,,LOAN FEE INCOME,A,SDG CHART,SDG
490,,LOAN PENALTY INCOME,A,SDG CHART,SDG
491,,OTHER INCOME,A,SDG CHART,SDG
491,10,TELEPHONE INCOME,A,SDG CHART,SDG
491,20,LAUNDRY INCOME,A,SDG CHART,SDG
492,,NOT CODED OTHER REVENUE,A,SDG CHART,SDG
493,,SCR LT,A,SDG CHART,SDG
494,,SCR ST,A,SDG CHART,SDG
495,,SCR INV,A,SDG CHART,SDG
496,,RECEIPTS REVENUE,A,SDG CHART,SDG
498,,TOTAL OTHER REVENUE,T,SDG CHART,SDG
499,,REVENUE LESS COGS,T,SDG CHART,SDG
500,,EXPENSES,H,SDG CHART,SDG
502,,OPERATING EXPENSES,H,SDG CHART,SDG
504,,CHARGED OFF ACTS,A,SDG CHART,SDG
505,,BAD CHECKS,A,SDG CHART,SDG
506,,WAGES,A,SDG CHART,SDG
506,1,FLOORMEN,A,SDG CHART,SDG
506,2,CHIP GIRLS,A,SDG CHART,SDG
506,3,DEALS,A,SDG CHART,SDG
506,4,PORTERS,A,SDG CHART,SDG
506,5,CAGE,A,SDG CHART,SDG
506,7,SECURITY,A,SDG CHART,SDG
506,8,OFFICE,A,SDG CHART,SDG
506,9,ADMINISTRATION,A,SDG CHART,SDG
506,11,MOTEL MAIDS,A,SDG CHART,SDG
506,12,FRONT DESK,A,SDG CHART,SDG
506,90,ALLOCATED TIPS,A,SDG CHART,SDG
506,100,LOUNGE,A,SDG CHART,SDG
506,200,REST,A,SDG CHART,SDG
507,,WAGE MDSE EXPENSE,A,SDG CHART,SDG
515,,COMMISSIONS,A,SDG CHART,SDG
517,,CONTRACT LABOR,A,SDG CHART,SDG
517,21,SECURITY SERVICES,A,SDG CHART,SDG
518,,FUTA TAX EXPENSE,A,SDG CHART,SDG
519,,SUTA TAX EXPENSE,A,SDG CHART,SDG
520,,FICA TAX EXPENSE,A,SDG CHART,SDG
521,,WORKMAN COMP INSURANCES,A,SDG CHART,SDG
525,,HEALTH INSURANCE,A,SDG CHART,SDG
530,,TRAVEL EXPENSES,A,SDG CHART,SDG
535,,REPAIRS & MAINT-VEHICLES,A,SDG CHART,SDG
536,,GAS & OIL,A,SDG CHART,SDG
540,,FREIGHT EXPENSE,A,SDG CHART,SDG
545,,ADVERTISING & PROMOTIONS,A,SDG CHART,SDG
549,,ROYALTIES,A,SDG CHART,SDG
550,,AP DISCOUNTS LOST,A,SDG CHART,SDG
561,,TOTAL OPERATING EXP,T,SDG CHART,SDG
563,,GENERAL & ADMINISTRATIVE EXP,H,SDG CHART,SDG
564,,RENT-VEHICLES,H,SDG CHART,SDG
565,,RENT-BUILDING,A,SDG CHART,SDG
566,,RENT-EQUIPMENT & VEHICLES,A,SDG CHART,SDG
567,,RENT-LAND,A,SDG CHART,SDG
570,,REPAIRS & MAINT-BUILDING,A,SDG CHART,SDG
571,,REPAIR & MAINTENANCE EQUIPMENT,A,SDG CHART,SDG
572,,LANDSCAPING,A,SDG CHART,SDG
574,,COMPUTER SOFTWARE MAINTENANCE,A,SDG CHART,SDG
580,,UTILITIES-FUEL,A,SDG CHART,SDG
581,,UTILITIES-ELECTRIC,A,SDG CHART,SDG
582,,UTILITIES-WATER & SEWER,A,SDG CHART,SDG
583,,UTILITIES-GARBAGE,A,SDG CHART,SDG
584,,UTILITIES-PHONE,A,SDG CHART,SDG
585,,UTILITIES-MISC,A,SDG CHART,SDG
590,,PROPERTY TAX,A,SDG CHART,SDG
590,1,PROPERTY TAX ACCRUAL,A,SDG CHART,SDG
590,5,PROPERTY TAX REIMBURSEMENT,A,SDG CHART,SDG
595,,PERSONAL PROPERTY TAX,A,SDG CHART,SDG
600,,DEPRECIATION EXP-VEHICLES,A,SDG CHART,SDG
605,,DEPRECIATION EXP-EQUIPMENT,A,SDG CHART,SDG
605,10,AMORTIZATION-COVENANT,A,SDG CHART,SDG
607,,DEPRECIATION EXP-F & F,A,SDG CHART,SDG
609,,DEPRECIATION EXP-IMPROVEMENTS,A,SDG CHART,SDG
611,,DEPRECIATION EXP-BUILDINGS,A,SDG CHART,SDG
613,,AMORTIZATION EXPENSE,A,SDG CHART,SDG
615,,CASUALTY/PROPERTY INSURANCE,A,SDG CHART,SDG
620,,VEHICLE INSURANCE,A,SDG CHART,SDG
621,,INSURANCE,A,SDG CHART,SDG
626,,"TOTAL PREMISE, EQUIP & VEH EXP",T,SDG CHART,SDG
629,,ACCOUNTING FEES,A,SDG CHART,SDG
630,,PROFESSIONAL FEES,A,SDG CHART,SDG
630,1,MANAGEMENT FEES,A,SDG CHART,SDG
631,,LEGAL FEES,A,SDG CHART,SDG
635,,OFFICE SUPPLIES EXPENSE,A,SDG CHART,SDG
638,,SUPPLIES,A,SDG CHART,SDG
638,8,LAUNDRY AND LINEN,A,SDG CHART,SDG
638,14,SMALL EQUIPMENT AND UTENSILS,A,SDG CHART,SDG
638,100,SUPPLIES-LOUNGE,A,SDG CHART,SDG
638,200,SUPPLIES-REST,A,SDG CHART,SDG
639,,PARTS EXPENSE,A,SDG CHART,SDG
640,,POSTAGE EXPENSE,A,SDG CHART,SDG
650,,PERMITS & LICENSES,A,SDG CHART,SDG
655,,SUBSCRIPTIONS & MEMBERSHIPS,A,SDG CHART,SDG
659,,FILING FEES,A,SDG CHART,SDG
665,,FINES - PENALTY,A,SDG CHART,SDG
675,,BANK CHARGES,A,SDG CHART,SDG
676,,BANKCARD DISCOUNTS,A,SDG CHART,SDG
685,,THEFT LOSS,A,SDG CHART,SDG
689,,DONATIONS,A,SDG CHART,SDG
690,,INCOME TAX PROVISION EXP,A,SDG CHART,SDG
691,,MISC TAX,A,SDG CHART,SDG
700,,GROCERY EXPENSE,A,SDG CHART,SDG
703,,CLOTHING EXPENSE,A,SDG CHART,SDG
707,,EDUCA.& TRAINING EXPENSE,A,SDG CHART,SDG
709,,ENTERTAINMENT EXPENSE,A,SDG CHART,SDG
710,,GIFT EXPENSE,A,SDG CHART,SDG
710,18,COMPLIMENTARY ROOMS,A,SDG CHART,SDG
710,19,COMPLIMENTARY MEALS,A,SDG CHART,SDG
710,26,PARTY CENTER,A,SDG CHART,SDG
715,,CHARGE CARD EXPENSE,A,SDG CHART,SDG
720,,MEDICAL EXP,A,SDG CHART,SDG
740,,INTEREST EXPENSE,A,SDG CHART,SDG
741,,LOAN INTEREST EXPENSE,A,SDG CHART,SDG
742,,LOAN FEE EXPENSE,A,SDG CHART,SDG
743,,LOAN PENALTIES EXPENSE,A,SDG CHART,SDG
780,,LOSS ON SALE OF ASSET,A,SDG CHART,SDG
785,,OTHER EXPENSES,A,SDG CHART,SDG
785,100,HOTEL OVER/SHORT,A,SDG CHART,SDG
785,200,RESTAURANT OVER/SHORT,A,SDG CHART,SDG
788,,NOT CODED OTHER EXPENSE,A,SDG CHART,SDG
789,,SCP LT,A,SDG CHART,SDG
790,,SCP ST,A,SDG CHART,SDG
791,,SCP INV,A,SDG CHART,SDG
792,,CHECK EXP,A,SDG CHART,SDG
796,,TOTAL G & A EXPENSES,T,SDG CHART,SDG
797,,TOTAL OPERATING & G&A EXP,T,SDG CHART,SDG
799,,NET INCOME/LOSS-,T,SDG CHART,SDG
801,,TRAN-INTRA COMPANY,A,SDG CHART,SDG
803,,TRAN-INTRA COMPANY-SDG,A,SDG CHART,SDG
